id;produto_id;quantidade;quantidade_minima;updated_at
1;1;13;8;2025-10-27 08:21:05
2;2;209;13;2024-09-28 22:01:28
3;3;151;20;2025-05-10 19:35:58
4;4;36;21;2025-11-04 21:12:27
5;5;201;9;2024-05-24 17:07:37
6;6;17;4;2025-06-06 18:09:19
7;7;86;11;2025-10-03 23:36:33
8;8;153;14;2025-01-08 14:33:49
9;9;99;21;2025-08-19 15:45:43
10;10;128;6;2025-01-31 12:13:47
11;11;138;21;2024-05-11 04:21:00
12;12;29;17;2025-05-17 05:58:19
13;13;237;15;2025-09-04 09:03:17
14;14;105;19;2025-07-16 11:10:27
15;15;207;19;2025-05-16 10:04:54
16;16;95;20;2025-07-17 23:22:57
17;17;42;18;2025-05-25 08:31:57
18;18;314;9;2025-07-14 19:25:37
19;20;231;22;2025-10-10 19:05:30
20;21;222;8;2025-05-01 15:37:52
21;22;5;13;2024-10-05 22:44:33
22;23;132;5;2025-05-27 04:30:07
23;24;82;18;2025-01-26 05:45:28
24;25;10;13;2025-09-22 12:54:00
25;26;47;19;2025-04-22 12:09:18
26;27;312;10;2025-05-15 15:03:05
27;28;131;8;2024-12-10 10:53:58
28;29;259;10;2024-06-14 06:34:04
29;30;100;24;2025-04-23 11:51:53
30;31;20;21;2025-04-03 20:04:27
31;32;255;12;2025-02-16 12:34:41
32;33;298;4;2025-07-15 06:44:25
33;34;107;10;2025-10-16 22:19:48
34;35;186;23;2025-03-07 13:11:02
35;36;-8;25;2025-07-18 18:21:29
36;37;129;18;2025-04-05 00:15:58
37;38;219;12;2024-11-09 16:41:26
38;39;291;3;2025-01-04 08:33:52
39;40;61;25;2025-01-26 01:52:27
40;41;296;17;2025-09-09 00:18:16
41;42;26;24;2025-05-25 06:17:37
42;43;65;22;2025-11-11 23:41:48
43;44;274;15;2025-02-13 21:54:00
44;45;246;23;2025-05-24 08:36:36
45;46;64;4;2024-04-18 05:00:34
46;47;195;7;2024-10-20 16:08:47
47;48;60;8;2025-03-06 17:53:51
48;49;98;10;2025-06-17 03:55:49
49;50;24;11;2025-08-16 10:43:33
50;51;208;24;2024-12-04 18:59:36
51;52;74;9;2025-06-19 08:58:25
52;53;307;16;2024-08-03 10:07:06
53;54;218;3;2025-10-01 00:44:50
54;55;276;23;2025-03-16 09:26:36
55;56;10;4;2025-04-26 09:00:12
56;57;129;6;2025-10-27 03:25:15
57;58;171;17;2025-05-25 21:30:20
58;59;157;17;2025-07-17 00:10:20
59;60;33;12;2025-07-27 01:14:32
60;61;138;23;2024-11-19 04:58:10
61;62;260;4;2025-05-23 19:44:19
62;63;242;21;2024-05-03 03:47:22
63;64;212;22;2025-05-23 21:59:16
64;65;40;4;2025-01-05 22:45:36
65;66;293;22;2025-08-06 07:08:18
66;67;57;22;2025-05-07 09:38:15
67;68;74;24;2024-08-04 01:15:58
68;69;200;4;2025-06-21 03:16:02
69;70;279;20;2025-06-10 12:56:29
70;72;227;6;2025-09-09 20:15:44
71;73;131;4;2025-06-09 05:20:19
72;74;188;21;2024-08-03 09:16:33
73;75;177;18;2025-05-15 06:53:44
74;76;215;4;2025-05-20 06:06:52
75;77;147;21;2025-11-08 15:14:25
76;78;97;23;2025-08-24 20:17:46
77;79;278;22;2025-08-13 19:02:58
78;80;74;15;2024-06-02 14:35:24
