id;nome;slug;descricao;imagem;categoria_pai_id;ativo;created_at;updated_at
1;Informática;informatica;Categoria Informática;/img/categorias/informatica.jpg;;1;2024-01-24 02:52:33;2024-06-15 12:50:44
2;Celulares;celulares;Categoria Celulares;/img/categorias/celulares.jpg;;1;2024-02-19 19:41:07;2024-04-18 18:09:42
3;Casa e Cozinha;casa-e-cozinha;Categoria Casa e Cozinha;/img/categorias/casa-e-cozinha.jpg;;1;2024-02-11 08:36:27;2024-03-13 08:34:17
4;Games;games;Categoria Games;/img/categorias/games.jpg;;1;2024-02-22 07:56:53;2025-02-19 18:18:56
5;Áudio;audio;Categoria Áudio;/img/categorias/audio.jpg;;1;2024-02-12 16:28:58;2025-07-20 20:57:33
6;Escritório;escritorio;Categoria Escritório;/img/categorias/escritorio.jpg;;1;2024-01-16 09:40:35;2025-01-11 14:57:46
7;Notebooks;notebooks;Subcategoria Notebooks;/img/categorias/notebooks.jpg;1;1;2024-01-09 19:37:08;2025-04-11 18:24:15
8;Periféricos;perifericos;Subcategoria Periféricos;/img/categorias/perifericos.jpg;1;1;2024-02-26 04:01:55;2025-04-08 17:49:13
9;Smartphones;smartphones;Subcategoria Smartphones;/img/categorias/smartphones.jpg;2;1;2024-02-26 10:23:47;2024-08-24 05:43:04
10;Acessórios para Celular;acessorios-para-celular;Subcategoria Acessórios para Celular;/img/categorias/acessorios-para-celular.jpg;2;1;2024-02-22 21:08:33;2025-11-19 14:39:08
11;Eletroportáteis;eletroportateis;Subcategoria Eletroportáteis;/img/categorias/eletroportateis.jpg;3;1;2024-02-19 01:16:44;2024-12-01 04:48:14
12;Utilidades Domésticas;utilidades-domesticas;Subcategoria Utilidades Domésticas;/img/categorias/utilidades-domesticas.jpg;3;1;2024-02-27 21:26:44;2024-09-26 08:12:09
13;Consoles;consoles;Subcategoria Consoles;/img/categorias/consoles.jpg;4;1;2024-03-31 13:32:55;2025-11-03 13:19:43
14;Jogos;jogos;Subcategoria Jogos;/img/categorias/jogos.jpg;4;1;2024-02-26 19:18:07;2025-08-03 08:54:57
15;Fones de Ouvido;fones-de-ouvido;Subcategoria Fones de Ouvido;/img/categorias/fones-de-ouvido.jpg;5;1;2024-03-08 05:26:53;2025-07-25 15:47:48
16;Caixas de Som;caixas-de-som;Subcategoria Caixas de Som;/img/categorias/caixas-de-som.jpg;5;1;2024-01-28 02:27:30;2024-08-29 07:06:16
17;Cadeiras;cadeiras;Subcategoria Cadeiras;/img/categorias/cadeiras.jpg;6;1;2024-02-12 12:54:32;2025-10-02 05:51:40
18;Mesas;mesas;Subcategoria Mesas;/img/categorias/mesas.jpg;6;0;2024-03-03 20:21:19;2025-10-05 18:50:20
19;Promoções Antigas;promocoes-antigas;Categoria herdada do sistema anterior;;99;1;2024-02-02 09:00:00;2024-02-02 09:00:00
