id;pedido_id;produto_id;quantidade;preco_unitario;subtotal;created_at
1;1;6;3;3141.54;9424.62;2025-10-04 05:41:19
2;1;23;1;2676.95;2676.95;2025-10-04 05:41:19
3;1;40;1;5643.03;5643.03;2025-10-04 05:41:19
4;1;57;1;6616.25;6616.25;2025-10-04 05:41:19
5;2;11;1;6125.23;6125.23;2025-09-21 00:43:17
6;2;28;1;1202.75;1202.75;2025-09-21 00:43:17
7;2;45;3;2913.13;8739.39;2025-09-21 00:43:17
8;3;16;2;7968.82;15937.64;2025-09-29 09:23:30
9;3;33;2;5075.99;10151.98;2025-09-29 09:23:30
10;4;21;3;3834.62;11503.86;2025-08-13 19:37:03
11;4;38;1;2327.99;2327.99;2025-08-13 19:37:03
12;4;55;2;1087.31;2174.62;2025-08-13 19:37:03
13;5;26;1;2662.98;2662.98;2025-01-28 21:44:46
14;6;31;1;1151.49;1151.49;2025-05-16 21:02:14
15;6;48;3;2428.62;7285.86;2025-05-16 21:02:14
16;6;65;2;8218.77;16437.54;2025-05-16 21:02:14
17;6;2;1;4364.18;4364.18;2025-05-16 21:02:14
18;7;36;1;6791.51;6791.51;2025-01-16 05:39:29
19;7;53;3;623.25;1869.75;2025-01-16 05:39:29
20;7;70;1;5882.07;5882.07;2025-01-16 05:39:29
21;8;41;1;5579.79;5579.79;2025-05-16 08:39:29
22;8;58;1;2401.98;2401.98;2025-05-16 08:39:29
23;8;75;3;8161.67;24485.01;2025-05-16 08:39:29
24;9;46;2;5461.06;10922.12;2024-12-17 13:21:28
25;10;51;2;1371.76;2743.52;2025-10-12 00:43:42
26;11;56;1;2603.98;2603.98;2025-06-14 12:17:27
27;11;73;2;3185.50;6371.00;2025-06-14 12:17:27
28;11;10;3;3839.85;11519.55;2025-06-14 12:17:27
29;11;27;1;3593.54;3593.54;2025-06-14 12:17:27
30;12;61;1;2125.02;2125.02;2025-08-11 10:09:05
31;12;78;2;3585.14;7170.28;2025-08-11 10:09:05
32;12;15;3;7806.08;23418.24;2025-08-11 10:09:05
33;12;61;1;2125.02;2125.02;2025-08-11 10:09:05
34;13;66;3;6675.89;20027.67;2024-02-07 04:42:32
35;13;3;2;4904.09;9808.18;2024-02-07 04:42:32
36;13;20;3;2223.34;6670.02;2024-02-07 04:42:32
37;14;71;2;3442.53;6885.06;2025-08-07 11:51:11
38;14;8;2;8991.07;17982.14;2025-08-07 11:51:11
39;14;25;3;2733.15;8199.45;2025-08-07 11:51:11
40;14;42;1;7149.81;7149.81;2025-08-07 11:51:11
41;15;76;2;5638.02;11276.04;2025-01-17 04:43:39
42;15;13;2;638.61;1277.22;2025-01-17 04:43:39
43;15;30;3;7043.23;21129.69;2025-01-17 04:43:39
44;16;1;3;6493.62;19480.86;2025-11-15 09:42:57
45;16;18;3;7458.98;22376.94;2025-11-15 09:42:57
46;16;35;1;3176.12;3176.12;2025-11-15 09:42:57
47;16;52;3;8310.21;24930.63;2025-11-15 09:42:57
48;17;6;3;3141.54;9424.62;2025-08-21 11:49:03
49;17;23;3;2676.95;8030.85;2025-08-21 11:49:03
50;18;11;2;6125.23;12250.46;2024-10-12 11:07:58
51;19;16;3;7968.82;23906.46;2025-06-27 06:49:06
52;20;21;2;3834.62;7669.24;2025-01-09 16:12:28
53;20;38;1;2327.99;2327.99;2025-01-09 16:12:28
54;20;55;2;1087.31;2174.62;2025-01-09 16:12:28
55;20;72;1;8945.01;8945.01;2025-01-09 16:12:28
56;21;26;1;2662.98;2662.98;2025-06-23 19:01:14
57;22;31;1;1151.49;1151.49;2025-05-31 03:18:46
58;22;48;2;2428.62;4857.24;2025-05-31 03:18:46
59;23;36;2;6791.51;13583.02;2025-10-29 12:51:43
60;23;53;1;623.25;623.25;2025-10-29 12:51:43
61;23;70;3;5882.07;17646.21;2025-10-29 12:51:43
62;23;7;3;2700.86;8102.58;2025-10-29 12:51:43
63;24;41;1;5579.79;5579.79;2025-08-16 10:32:18
64;25;46;3;5461.06;16383.18;2025-01-09 16:07:15
65;25;63;2;3429.57;6859.14;2025-01-09 16:07:15
66;25;80;2;4551.74;9103.48;2025-01-09 16:07:15
67;26;51;2;1371.76;2743.52;2025-01-05 18:53:30
68;27;56;1;2603.98;2603.98;2025-10-16 03:38:22
69;27;73;3;3185.50;9556.50;2025-10-16 03:38:22
70;27;10;1;3839.85;3839.85;2025-10-16 03:38:22
71;27;9999;1;249.90;249.90;2025-10-16 03:38:22
72;28;61;2;2125.02;4250.04;2025-06-12 04:57:47
73;28;78;1;3585.14;3585.14;2025-06-12 04:57:47
74;29;66;2;6675.89;13351.78;2025-02-25 23:09:52
75;29;3;2;4904.09;9808.18;2025-02-25 23:09:52
76;29;20;3;2223.34;6670.02;2025-02-25 23:09:52
77;29;37;3;7085.99;21257.97;2025-02-25 23:09:52
